Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,209986631.6318512,17,16,956,1060,78,54,56.23529411764706,5.450627721699,70,54,66.25,4.993746088859544,9.600611164307134,0.15715286132050366,13547084.093093872,4432278.926770738,15021183.967590332,784.1587066650391,209985613.10768127,13124100.81923008,4958850.539487015,15021183.967590332,784.1587066650391,209973993.77822876,13998266.251881918,3738437.236354414,15019036.054611206,12066.125869750977,1,0,0,0,378,488,0.08095753461965341,0.07619532670085026,54,78,61.09090909090909,7.241980460601612,52.446280991735534,2,0,1,1,32,0,0,0,0.9411764705882353,61.09090909090909,56.23529411764706,66.25,378,0,0,0,0,0,0,17,956,16,1060,255,1044,15,20,0,0,0,0,0,0,0,0,BENIGN
443,31898.49853515625,3,2,186,116,78,54,62.0,11.313708498984761,58,58,58.0,0.0,9467.530255919637,156.74718966754364,16733.646392822266,3729.8408003546388,20310.640335083008,11587.858200073242,31898.49853515625,15949.249267578125,4361.391067504883,20310.640335083008,11587.858200073242,18302.440643310547,18302.440643310547,0.0,18302.440643310547,18302.440643310547,1,0,0,0,84,40,94.04831380052619,62.69887586701746,54,78,60.4,8.97997772825746,80.64,2,0,0,1,5,0,0,0,0.6666666666666666,60.4,62.0,58.0,84,0,0,0,0,0,0,3,186,2,116,255,1047,1,20,0,0,0,0,0,0,0,0,BENIGN
443,150194549.79896545,13,13,736,838,78,54,56.61538461538461,6.18358200321889,70,58,64.46153846153847,3.6923076923076925,10.479741123141885,0.17310881143690535,12505128.423372904,5561774.756105093,15160388.708114624,1555.9196472167969,149935273.88572693,12494606.157143911,5585863.304942016,15093632.459640503,1555.9196472167969,150187808.27522278,12515650.689601898,5537561.4287901865,15160388.708114624,13098.716735839844,1,0,0,0,294,380,0.08655440571845267,0.08655440571845267,54,78,60.53846153846154,6.428486897161902,41.325443786982255,2,0,2,1,24,0,0,0,1.0,60.53846153846154,56.61538461538461,64.46153846153847,294,0,0,0,0,0,0,13,736,13,838,252,1047,11,20,0,0,0,0,0,0,0,0,BENIGN
443,149944530.24864197,13,13,736,842,78,54,56.61538461538461,6.18358200321889,70,54,64.76923076923077,5.521341059977343,10.523891717712669,0.17339745542492357,12494932.134946188,5586925.219808642,15074524.16419983,0.0,149943520.78437805,12495293.398698172,5588082.12897641,15074524.16419983,0.0,149934850.45433044,12494570.871194204,5585768.047659978,15065756.797790527,0.0,1,0,0,0,294,380,0.08669872771246179,0.08669872771246179,54,78,60.69230769230769,7.140185468229103,50.98224852071006,2,0,2,1,24,0,0,0,1.0,60.69230769230769,56.61538461538461,64.76923076923077,294,0,0,0,0,0,0,13,736,13,842,253,1046,11,20,0,0,0,0,0,0,0,0,BENIGN
443,123918469.42901611,7,11,6410,823,5898,54,915.7142857142857,2034.339746473443,185,54,74.81818181818181,37.4501321318659,58.36902306272642,0.1452567973356941,13404520.779848099,20000530.091424376,45312673.807144165,0.0,90777522.32551575,15129587.054252625,21315070.276871037,45312673.807144165,998.2585906982422,123694810.15205383,12369481.015205383,19093919.824146643,45233492.612838745,0.0,4,3,0,0,6172,449,0.0564887545194366,0.08876804281625751,54,5898,401.8333333333333,1333.5424523509637,1778335.4722222222,0,0,1,7,18,0,0,0,1.5714285714285714,401.8333333333333,915.7142857142857,74.81818181818181,6172,0,0,0,0,0,0,7,6410,11,823,252,16385,6,20,0,0,0,0,0,0,0,0,BENIGN
443,150145788.19274902,14,12,814,788,78,54,58.142857142857146,8.113983897807387,70,54,65.66666666666667,5.527707983925667,10.66962995953932,0.17316503055432103,12511564.65212504,5545995.011936929,15024578.80973816,1522.7794647216797,150140047.07336426,11549234.390258789,6286033.769863601,15023928.40385437,1522.7794647216797,150137504.57763672,13648864.05251243,4245228.399433963,15024578.80973816,226417.06466674805,2,0,0,0,338,360,0.09324270876001903,0.07992232179430202,54,78,61.61538461538461,7.976296244194289,63.62130177514793,3,0,1,2,25,0,0,0,0.8571428571428571,61.61538461538461,58.142857142857146,65.66666666666667,338,0,0,0,0,0,0,14,814,12,788,255,1044,12,20,0,0,0,0,0,0,0,0,BENIGN
443,419800.5199432373,5,5,661,426,358,74,132.2,112.913063903164,163,63,85.2,38.973837378426055,2589.3250445401472,23.820837576266307,97386.6879940033,123361.90986640038,307566.88117980957,0.0,392049.78942871094,98012.44735717773,124098.84773957016,307566.88117980957,3559.112548828125,387043.71452331543,96760.92863082886,122617.3497182253,307066.4405822754,0.0,0,0,0,0,0,0,11.910418788133153,11.910418788133153,63,358,108.7,87.67217346456059,7686.410000000001,0,0,0,0,0,0,0,0,1.0,108.7,132.2,85.2,0,0,0,0,0,0,0,5,661,5,426,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
443,167080007.314682,16,20,2035,1786,294,54,127.1875,99.89195334835534,176,54,89.3,49.33568688079654,22.86928317403918,0.21546563576692238,9815567.360204808,13524759.142535089,45350969.314575195,0.0,166870095.25299072,11124673.016866049,13839144.583621873,44974580.04951477,0.0,166859194.99397278,8782062.89441962,13179769.247293934,45350969.314575195,999.2122650146484,8,9,0,0,1491,1106,0.09576250478529884,0.11970313098162354,54,294,106.13888888888889,78.36777710037667,6141.5084876543215,2,0,0,17,36,0,0,0,1.25,106.13888888888889,127.1875,89.3,1491,0,0,0,0,0,0,16,2035,20,1786,255,12283,9,20,0,0,0,0,0,0,0,0,BENIGN
54780,280010461.807251,47,29,3230,2845,139,54,68.72340425531915,23.53060671212778,145,54,98.10344827586206,23.268070215590924,21.695617945095954,0.27141843025963663,7567836.800137082,8916273.519039476,20005080.223083496,0.0,280010461.807251,6087183.952331543,8540829.251090292,19999208.211898804,996.3512420654297,280009461.40289307,10000337.907246182,8986030.590600558,20005080.223083496,0.0,19,28,0,0,1632,1859,0.1678508713447753,0.10356755891486136,54,145,79.9342105263158,27.435251778801028,752.6930401662049,0,0,0,47,76,0,0,0,0.6170212765957447,79.9342105263158,68.72340425531915,98.10344827586206,1632,0,0,0,0,0,0,47,3230,29,2845,16,253,19,20,0,0,0,0,0,0,0,0,BENIGN
53,270799494.02809143,10,10,873,2028,105,79,87.3,7.772387020729218,398,100,202.8,81.81906868206214,10.712723117935605,0.07385538171620548,30081831.574440002,40915995.90449694,119291787.38594055,203228.71208190918,270683078.0506134,30075897.561179265,40919696.34928288,119291787.38594055,203228.71208190918,270789890.28930664,30087765.58770074,40912294.26432938,119287762.16506958,208750.00953674316,0,0,0,0,0,0,0.03692769085810274,0.03692769085810274,79,398,145.05,81.92952764418943,6712.4475,0,0,0,0,0,0,0,0,1.0,145.05,87.3,202.8,0,0,0,0,0,0,0,10,873,10,2028,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
