timestamp,src,sport,dst,dport,proto,pkt_count,bytes,duration,pred
2025-12-16 01:08:37,192.168.1.25,57878,34.195.70.37,443,TCP,129,18877,18.342,
2025-12-16 01:08:37,34.195.70.37,443,192.168.1.25,57878,TCP,163,35008,18.118,
2025-12-16 01:08:37,192.168.1.25,51471,34.195.70.37,443,TCP,132,17728,17.272,
2025-12-16 01:08:37,34.195.70.37,443,192.168.1.25,51471,TCP,188,32746,17.06,
2025-12-16 01:08:37,192.168.1.25,52493,8.8.8.8,53,UDP,2,177,25.298,
2025-12-16 01:08:37,8.8.8.8,53,192.168.1.25,52493,UDP,2,381,25.293,
2025-12-16 01:08:38,192.168.1.25,62696,74.125.200.188,443,TCP,1,55,0.0,
2025-12-16 01:08:38,192.168.1.25,137,192.168.1.1,137,UDP,9,990,21.165,
2025-12-16 01:08:38,74.125.200.188,443,192.168.1.25,62696,TCP,1,70,0.0,
2025-12-16 01:08:38,192.168.1.25,50553,140.82.114.22,443,TCP,9,4654,1.209,
2025-12-16 01:08:39,140.82.114.22,443,192.168.1.25,50553,TCP,12,7107,1.209,
2025-12-16 01:08:43,192.168.1.25,56557,8.8.8.8,53,UDP,1,70,0.0,
2025-12-16 01:08:43,192.168.1.25,61627,8.8.8.8,53,UDP,1,70,0.0,
2025-12-16 01:08:43,8.8.8.8,53,192.168.1.25,56557,UDP,1,146,0.0,
2025-12-16 01:08:43,8.8.8.8,53,192.168.1.25,61627,UDP,1,102,0.0,
2025-12-16 01:08:43,192.168.1.25,56413,8.8.4.4,443,UDP,15,7746,0.132,
2025-12-16 01:08:43,8.8.4.4,443,192.168.1.25,56413,UDP,16,11857,0.067,
2025-12-16 01:08:43,8.8.4.4,443,192.168.1.25,64325,TCP,6,5498,0.057,
2025-12-16 01:08:43,192.168.1.25,56940,142.250.182.65,443,TCP,4,241,30.155,
2025-12-16 01:08:43,142.250.182.65,443,192.168.1.25,56940,TCP,5,302,30.143,
2025-12-16 01:08:43,192.168.1.25,64325,8.8.4.4,443,TCP,6,2226,0.123,
2025-12-16 01:08:43,192.168.1.25,65043,34.54.84.110,443,TCP,46,8270,35.344,
2025-12-16 01:08:43,34.54.84.110,443,192.168.1.25,65043,TCP,51,51381,35.123,
2025-12-16 01:08:44,52.168.117.175,443,192.168.1.25,56919,TCP,11,7562,1.001,
2025-12-16 01:08:44,192.168.1.25,56919,52.168.117.175,443,TCP,13,8135,1.257,
2025-12-16 01:08:51,192.168.1.20,5353,224.0.0.251,5353,UDP,6,1047,0.77,
2025-12-16 01:08:53,192.168.1.25,62687,34.54.84.110,443,TCP,30,3921,0.505,
2025-12-16 01:08:53,34.54.84.110,443,192.168.1.25,62687,TCP,37,63734,0.444,
2025-12-16 01:08:54,13.107.213.58,443,192.168.1.25,65039,TCP,5,333,0.015,
2025-12-16 01:08:54,192.168.1.25,65039,13.107.213.58,443,TCP,3,162,0.008,
2025-12-16 01:08:55,4.186.14.122,443,192.168.1.25,54526,TCP,1,94,0.0,
2025-12-16 01:08:55,192.168.1.25,54526,4.186.14.122,443,TCP,2,159,0.076,
2025-12-16 01:09:01,192.168.1.25,58727,8.8.8.8,53,UDP,1,76,0.0,
2025-12-16 01:09:01,192.168.1.25,58727,8.8.4.4,53,UDP,1,76,0.0,
2025-12-16 01:09:01,8.8.4.4,53,192.168.1.25,58727,UDP,1,285,0.0,
2025-12-16 01:09:01,8.8.8.8,53,192.168.1.25,58727,UDP,1,285,0.0,
2025-12-16 01:09:02,192.168.1.25,62688,150.171.22.11,443,TCP,8,3320,0.946,
2025-12-16 01:09:02,150.171.22.11,443,192.168.1.25,62688,TCP,9,13050,0.933,
2025-12-16 01:09:03,192.168.1.25,61700,4.224.95.102,443,TCP,2,166,0.077,
2025-12-16 01:09:03,4.224.95.102,443,192.168.1.25,61700,TCP,1,101,0.0,
2025-12-16 01:09:07,35.190.80.1,443,192.168.1.25,58714,TCP,4,1058,0.049,
2025-12-16 01:09:07,192.168.1.25,58714,35.190.80.1,443,TCP,5,2400,0.109,
2025-12-16 01:09:07,192.168.1.28,44927,239.255.255.250,1900,UDP,1,167,0.0,
2025-12-16 01:09:08,192.168.1.25,59688,35.190.80.1,443,UDP,14,6952,0.59,
2025-12-16 01:09:08,35.190.80.1,443,192.168.1.25,59688,UDP,13,5458,0.609,
2025-12-16 01:09:08,192.168.1.25,56731,8.8.4.4,443,UDP,11,3759,0.146,
2025-12-16 01:09:08,8.8.4.4,443,192.168.1.25,56731,UDP,15,6009,0.12,
2025-12-16 01:09:10,192.168.1.25,50948,13.89.179.10,443,TCP,1,55,0.0,
2025-12-16 01:09:10,13.89.179.10,443,192.168.1.25,50948,TCP,1,66,0.0,
2025-12-16 01:09:10,0.0.0.0,0,224.0.0.1,0,2,2,92,0.0,
2025-12-16 01:09:14,192.168.1.25,0,239.255.255.250,0,2,1,46,0.0,
2025-12-16 01:09:16,192.168.1.25,58449,23.23.231.53,443,TCP,3,163,14.751,
2025-12-16 01:09:16,23.23.231.53,443,192.168.1.25,58449,TCP,5,345,14.824,
2025-12-16 01:09:16,192.168.1.25,0,239.255.102.18,0,2,1,46,0.0,
2025-12-16 01:09:17,192.168.1.25,0,224.0.0.252,0,2,1,46,0.0,
2025-12-16 01:09:19,192.168.1.25,0,224.0.0.251,0,2,1,46,0.0,
2025-12-16 01:09:20,192.168.1.25,63122,4.213.25.240,443,TCP,1,55,0.0,
