timestamp,src,sport,dst,dport,proto,pred
2025-11-13 22:51:51,13.204.106.34,443,192.168.1.35,51091,TCP,0
2025-11-13 22:51:51,192.168.1.35,50676,142.250.193.170,443,UDP,0
2025-11-13 22:51:51,142.250.193.170,443,192.168.1.35,50676,UDP,0
2025-11-13 22:51:51,192.168.1.35,64663,13.204.106.34,443,TCP,0
2025-11-13 22:51:51,192.168.1.35,51091,13.204.106.34,443,TCP,0
2025-11-13 22:51:51,13.204.106.34,443,192.168.1.35,64663,TCP,0
2025-11-13 22:51:51,192.168.1.35,55609,142.250.193.170,443,UDP,0
2025-11-13 22:51:51,142.250.193.170,443,192.168.1.35,55609,UDP,0
2025-11-13 22:51:52,192.168.1.35,50066,142.251.223.14,443,UDP,0
2025-11-13 22:51:52,142.251.223.14,443,192.168.1.35,50066,UDP,0
2025-11-13 22:51:52,192.168.1.35,54627,13.204.106.34,443,TCP,0
2025-11-13 22:51:52,192.168.1.35,63088,13.204.106.34,443,TCP,0
2025-11-13 22:51:52,192.168.1.35,58223,13.204.106.34,443,TCP,0
2025-11-13 22:51:52,13.204.106.34,443,192.168.1.35,58223,TCP,0
2025-11-13 22:51:52,13.204.106.34,443,192.168.1.35,54627,TCP,0
2025-11-13 22:51:52,13.204.106.34,443,192.168.1.35,63088,TCP,0
2025-11-13 22:51:52,192.168.1.35,54166,74.125.200.84,443,UDP,0
2025-11-13 22:51:52,74.125.200.84,443,192.168.1.35,54166,UDP,0
2025-11-13 22:51:52,192.168.1.35,58798,142.251.223.238,443,UDP,0
2025-11-13 22:51:52,142.251.223.238,443,192.168.1.35,58798,UDP,0
2025-11-13 22:51:52,192.168.1.35,59334,142.251.221.102,443,UDP,0
2025-11-13 22:51:52,142.251.221.102,443,192.168.1.35,59334,UDP,0
2025-11-13 22:51:52,192.168.1.35,52864,142.251.221.99,443,UDP,0
2025-11-13 22:51:52,142.251.221.99,443,192.168.1.35,52864,UDP,0
2025-11-13 22:51:53,192.168.1.35,60729,142.250.182.78,443,UDP,0
2025-11-13 22:51:53,142.250.182.78,443,192.168.1.35,60729,UDP,0
2025-11-13 22:51:55,192.168.1.35,60774,142.250.77.142,443,UDP,0
2025-11-13 22:51:55,142.250.77.142,443,192.168.1.35,60774,UDP,0
2025-11-13 22:51:57,192.168.1.35,51335,142.251.222.164,443,UDP,0
2025-11-13 22:51:57,142.251.222.164,443,192.168.1.35,51335,UDP,0
2025-11-13 22:51:59,52.178.17.235,443,192.168.1.35,55475,TCP,0
2025-11-13 22:52:00,192.168.1.35,52656,142.250.193.170,443,UDP,0
2025-11-13 22:52:00,142.250.193.170,443,192.168.1.35,52656,UDP,0
2025-11-13 22:52:01,192.168.1.35,50505,100.26.84.113,443,TCP,0
2025-11-13 22:52:01,100.26.84.113,443,192.168.1.35,50505,TCP,0
2025-11-13 22:52:02,192.168.1.35,53898,52.87.124.85,443,TCP,0
2025-11-13 22:52:02,52.87.124.85,443,192.168.1.35,53898,TCP,0
2025-11-13 22:52:03,192.168.1.35,56344,142.251.43.142,443,UDP,0
2025-11-13 22:52:03,142.251.43.142,443,192.168.1.35,56344,UDP,0
2025-11-13 22:52:06,192.168.1.35,53141,8.8.8.8,53,UDP,0
2025-11-13 22:52:06,192.168.1.35,60931,8.8.8.8,53,UDP,0
2025-11-13 22:52:06,8.8.8.8,53,192.168.1.35,53141,UDP,0
2025-11-13 22:52:06,8.8.8.8,53,192.168.1.35,60931,UDP,0
2025-11-13 22:52:07,192.168.1.35,64494,13.107.246.58,443,TCP,0
2025-11-13 22:52:07,13.107.246.58,443,192.168.1.35,64494,TCP,0
2025-11-13 22:52:08,192.168.1.35,58225,52.182.143.209,443,TCP,0
2025-11-13 22:52:08,52.182.143.209,443,192.168.1.35,58225,TCP,0
2025-11-13 22:52:08,192.168.1.35,53135,142.250.205.106,443,UDP,0
2025-11-13 22:52:08,142.250.205.106,443,192.168.1.35,53135,UDP,0
2025-11-13 22:52:09,192.168.1.35,54539,142.251.223.165,443,TCP,0
2025-11-13 22:52:09,142.251.223.165,443,192.168.1.35,54539,TCP,0
2025-11-13 22:52:09,192.168.1.35,50747,8.8.8.8,53,UDP,0
2025-11-13 22:52:09,8.8.8.8,53,192.168.1.35,50747,UDP,0
2025-11-13 22:52:09,192.168.1.35,50747,8.8.4.4,53,UDP,0
2025-11-13 22:52:09,8.8.4.4,53,192.168.1.35,50747,UDP,0
2025-11-13 22:52:13,192.168.1.35,50491,35.169.47.173,443,TCP,0
2025-11-13 22:52:13,35.169.47.173,443,192.168.1.35,50491,TCP,0
